"Mailing Lists (subscribers will be imported in marked list)","Списки рассылки (подписчики магазина будут импортированы в эти списки)"
"No lists. Create?","Нет списков. Создать?"
"Name List","Название списка"
"Add List","Добавить список рассылки"
"Import List","Импортировать в UniSender"
"Settings","Настройки"
"Mailing Lists","Списки рассылки"
"Mailing Lists UniSender","Списки рассылки UniSender"
"List was created successfully!","Список рассылки успешно создан!"
"Successfully imported %s users","Успешно импортировано %s подписчиков!"
"Confirmation Mode","Подтверждение подписки"
"Without confirmation","Без подтверждения"
"Confirmation only Guest","Только для гостей"
"Confirmation for All","Требовать подтверждение для всех"
"Customer","Покупатель"
"Guest","Гость"
"Lists","Списки рассылки"